Id,Target
015095_001,0
004740_009,8
026937_002,1
014797_002,1
014636_006,5
001645_007,6
032265_003,2
006639_009,8
006300_002,1
000889_003,2
036082_001,0
038857_002,1
006020_004,3
007138_001,0
000845_002,1
007714_004,3
014903_006,5
038623_007,6
012076_005,4
010250_006,5
034702_005,4
008089_001,0
036079_002,1
002205_002,1
026792_001,0
001319_007,6
021500_003,2
024666_006,5
010910_001,0
008962_003,2
031904_005,4
030753_008,7
023196_005,4
022402_001,0
018681_002,1
019015_003,2
027888_006,5
020205_009,8
008440_001,0
013552_002,1
026047_002,1
024329_008,7
010376_004,3
000785_001,0
032423_006,5
008413_003,2
024456_006,5
008755_002,1
035472_001,0
037440_009,8
018597_001,0
025368_006,5
005919_005,4
009521_005,4
007529_006,5
004579_001,0
021990_006,5
021959_007,6
013915_009,8
021294_006,5
015157_001,0
039991_005,4
007906_007,6
039577_006,5
010997_002,1
001755_006,5
028458_006,5
001388_007,6
003934_006,5
020423_008,7
029388_006,5
022353_003,2
028484_002,1
032794_002,1
013349_002,1
023156_001,0
019161_002,1
031818_001,0
004834_001,0
011815_007,6
022103_003,2
036529_005,4
013946_002,1
017424_009,8
020578_008,7
037579_009,8
015372_008,7
011722_009,8
011383_001,0
029964_005,4
022653_006,5
002271_006,5
029863_007,6
000587_006,5
018729_001,0
035958_001,0
002073_002,1
000341_007,6
010352_003,2
021755_003,2
008187_005,4
035361_001,0
000560_002,1
002594_005,4
017396_006,5
030159_008,7
039418_006,5
002565_007,6
028144_005,4
038749_003,2
007413_006,5
017889_001,0
017813_003,2
021222_004,3
009656_001,0
019022_008,7
037984_004,3
032951_001,0
012528_001,0
034411_001,0
016467_003,2
008278_002,1
015052_001,0
009513_005,4
022270_006,5
008470_006,5
017786_006,5
033628_003,2
012651_005,4
017750_001,0
006657_006,5
033048_006,5
030994_008,7
021481_002,1
028440_007,6
024629_007,6
039595_001,0
024415_003,2
025456_005,4
000744_008,7
022738_003,2
006532_003,2
025276_005,4
003434_001,0
020726_001,0
037774_003,2
028660_006,5
037545_007,6
024480_001,0
008427_002,1
006063_005,4
005937_002,1
028676_003,2
005420_001,0
014801_007,6
003970_008,7
028708_003,2
039965_002,1
038584_009,8
005781_004,3
015803_001,0
035252_004,3
011392_002,1
002162_002,1
033302_006,5
039764_002,1
029694_001,0
004317_006,5
036149_005,4
007695_006,5
023270_001,0
020599_001,0
033479_002,1
019936_006,5
007077_002,1
011954_003,2
028573_002,1
030938_005,4
009600_001,0
003433_002,1
037331_009,8
035541_007,6
029088_001,0
022713_009,8
006291_002,1
021409_008,7
032299_009,8
022325_001,0
017364_005,4
038453_001,0
028918_003,2
030028_006,5
039121_003,2
007492_001,0
018337_001,0
006937_001,0
003618_006,5
024904_003,2
024679_003,2
004074_002,1
011917_006,5
009823_007,6
035739_002,1
034039_002,1
004296_007,6
009382_001,0
029727_005,4
024407_001,0
001912_001,0
011995_004,3
030951_004,3
007369_001,0
020949_009,8
011354_001,0
025209_005,4
018905_005,4
035473_006,5
019914_002,1
022645_005,4
010391_006,5
023699_001,0
003608_001,0
012868_001,0
019585_005,4
020587_005,4
038899_007,6
039225_006,5
022134_003,2
008879_006,5
039360_006,5
014342_002,1
002382_001,0
006713_002,1
034173_009,8
024820_001,0
017852_002,1
024519_001,0
030540_009,8
036628_003,2
033464_003,2
032476_004,3
017616_005,4
008572_002,1
027078_006,5
003400_001,0
011077_007,6
027029_007,6
015898_003,2
025630_007,6
034198_001,0
027898_001,0
017880_001,0
017891_001,0
016578_007,6
039433_002,1
021161_002,1
006082_002,1
032633_001,0
018164_003,2
029793_005,4
006965_009,8
025295_003,2
018912_001,0
035872_001,0
038432_004,3
002944_003,2
008060_006,5
028162_001,0
007660_006,5
000833_006,5
011147_003,2
006656_005,4
032903_009,8
003671_001,0
014938_002,1
029777_008,7
016732_009,8
001744_002,1
016017_001,0
022088_002,1
020678_006,5
022156_005,4
016393_001,0
023647_006,5
025430_007,6
026638_001,0
031325_005,4
000981_007,6
036368_008,7
007249_001,0
010784_001,0
000362_006,5
034084_009,8
038351_006,5
029154_009,8
007329_001,0
035117_001,0
013377_007,6
027743_001,0
015609_001,0
028167_001,0
038536_001,0
034539_006,5
032501_003,2
037721_009,8
022803_001,0
010218_007,6
034904_004,3
013401_001,0
007712_003,2
037549_001,0
020796_003,2
023507_004,3
032228_002,1
035816_001,0
003965_007,6
014702_006,5
033656_005,4
024149_001,0
025317_005,4
001341_004,3
022609_009,8
019352_003,2
010822_005,4
005265_009,8
030717_001,0
004699_002,1
029677_006,5
006227_001,0
003541_006,5
039555_001,0
026859_006,5
024077_006,5
010553_009,8
004793_006,5
011565_001,0
019034_008,7
020675_002,1
002892_002,1
031189_002,1
038333_009,8
027324_001,0
022451_006,5
025822_001,0
035079_009,8
001892_001,0
016631_001,0
014577_001,0
016695_005,4
000131_002,1
022496_009,8
006901_002,1
015925_005,4
005312_006,5
021901_008,7
036586_001,0
002133_002,1
008505_008,7
013057_008,7
004795_002,1
014650_004,3
026164_001,0
030764_008,7
002066_008,7
025688_006,5
024967_005,4
019974_004,3
037991_006,5
014984_001,0
030661_006,5
012540_001,0
021963_001,0
036731_002,1
014311_002,1
019111_002,1
037880_001,0
009274_005,4
032613_009,8
006558_006,5
009833_002,1
033633_009,8
039974_001,0
002338_006,5
032058_003,2
031807_001,0
038010_001,0
005775_002,1
014046_005,4
038655_002,1
022683_008,7
024465_009,8
031748_005,4
013041_001,0
014270_002,1
003526_003,2
006238_006,5
033695_001,0
000016_009,8
026394_006,5
005830_001,0
000209_001,0
032262_007,6
005684_006,5
007754_007,6
012135_001,0
004008_002,1
026884_001,0
032511_001,0
017146_001,0
009755_004,3
020500_002,1
009925_006,5
008678_006,5
019467_001,0
000843_002,1
011936_009,8
027616_002,1
024338_002,1
038218_008,7
036718_002,1
004080_001,0
036442_001,0
025397_004,3
026981_001,0
031547_002,1
028012_001,0
008842_006,5
024693_002,1
001043_002,1
005308_008,7
022567_001,0
004294_005,4
021771_003,2
002502_001,0
026116_003,2
034346_004,3
016067_008,7
017534_001,0
000068_001,0
012931_006,5
029175_001,0
000906_005,4
027274_001,0
038571_002,1
005780_002,1
017560_003,2
003827_004,3
024613_009,8
010691_006,5
029909_002,1
013421_007,6
009854_002,1
002045_007,6
006908_009,8
039010_006,5
013539_001,0
016340_001,0
008877_002,1
012772_001,0
026475_001,0
006468_002,1
013618_003,2
022395_007,6
007985_003,2
014871_001,0
001732_002,1
016553_001,0
001268_002,1
001553_001,0
027765_002,1
016355_002,1
015110_001,0
017999_002,1
018047_006,5
005259_006,5
023311_001,0
010703_001,0
039525_009,8
000905_002,1
027051_008,7
013991_007,6
013241_009,8
004373_002,1
011382_005,4
031226_001,0
016392_001,0
001988_008,7
021255_002,1
001338_006,5
004576_009,8
002563_008,7
031761_001,0
009366_009,8
027552_007,6
011582_009,8
037842_007,6
022152_001,0
001117_002,1
000031_001,0
028099_001,0
029368_001,0
025501_005,4
005950_009,8
038376_006,5
039562_006,5
027516_004,3
025678_008,7
036122_002,1
024003_005,4
010638_005,4
008101_001,0
012013_005,4
024134_005,4
038055_008,7
017238_003,2
030836_001,0
023771_007,6
013891_009,8
028978_001,0
037485_002,1
037676_001,0
004650_008,7
002691_009,8
021218_003,2
010913_002,1
017818_005,4
000544_001,0
031002_001,0
022114_001,0
023212_005,4
017550_005,4
003549_004,3
005706_008,7
018764_001,0
029148_004,3
014747_006,5
014205_001,0
031329_006,5
000105_003,2
019741_006,5
034870_001,0
020269_001,0
033899_005,4
010675_006,5
038874_002,1
019732_001,0
022830_006,5
021128_009,8
030548_003,2
031876_006,5
034851_002,1
021676_001,0
006528_001,0
026968_007,6
011269_007,6
031779_002,1
004799_003,2
013825_007,6
036818_006,5
038744_002,1
029555_001,0
032357_002,1
026360_003,2
010609_006,5
021073_001,0
013696_007,6
019983_002,1
030652_006,5
022667_009,8
025528_002,1
010943_006,5
037764_002,1
001708_005,4
025831_007,6
018572_001,0
013151_008,7
024175_004,3
029801_007,6
005901_002,1
030416_006,5
020943_003,2
037855_006,5
004469_009,8
018613_002,1
031693_005,4
004169_004,3
033327_002,1
024894_003,2
015557_001,0
009909_008,7
007368_008,7
035266_001,0
014047_002,1
032443_001,0
024005_008,7
014286_006,5
016095_009,8
001674_006,5
026747_002,1
015102_003,2
008713_006,5
027655_005,4
034714_004,3
009644_001,0
011027_001,0
018776_008,7
021499_005,4
038098_006,5
016930_009,8
039602_008,7
014441_006,5
015832_001,0
002266_006,5
028407_001,0
015922_001,0
006910_001,0
029572_005,4
005644_003,2
023020_009,8
013883_004,3
031084_001,0
007495_005,4
027897_001,0
014089_002,1
005503_003,2
027149_006,5
020036_006,5
015382_001,0
010753_005,4
006879_004,3
014455_001,0
028630_001,0
018094_009,8
024781_007,6
007958_004,3
033189_006,5
039093_009,8
015060_009,8
008266_002,1
038781_001,0
026200_006,5
037326_003,2
038370_001,0
030320_006,5
007612_002,1
037112_001,0
013491_004,3
015082_001,0
026327_001,0
005492_008,7
013021_008,7
013476_007,6
007861_001,0
036667_001,0
005343_003,2
011289_009,8
009913_002,1
037562_002,1
004124_003,2
026240_001,0
018644_008,7
020041_001,0
013427_006,5
031637_005,4
038504_002,1
038538_009,8
032558_001,0
015048_007,6
024490_002,1
037242_002,1
018618_002,1
000939_002,1
001255_007,6
024507_002,1
025896_004,3
038058_006,5
034393_006,5
016619_005,4
006236_006,5
030944_006,5
027642_003,2
002559_007,6
038300_001,0
007201_001,0
004632_002,1
038495_009,8
006416_005,4
029390_003,2
031885_002,1
031209_001,0
030640_002,1
017330_008,7
018563_001,0
020612_005,4
022984_001,0
022899_002,1
003135_002,1
029243_001,0
005507_006,5
007294_001,0
036461_001,0
008763_005,4
033647_001,0
025264_001,0
030395_002,1
020167_001,0
005173_005,4
024824_007,6
027628_005,4
014743_007,6
019198_007,6
033739_007,6
030630_007,6
020231_006,5
014033_009,8
032874_005,4
030285_001,0
035145_001,0
038381_007,6
005324_007,6
002018_003,2
007788_006,5
038214_001,0
006802_008,7
033315_006,5
029150_006,5
000959_007,6
012067_009,8
020485_002,1
032075_001,0
018141_002,1
007418_005,4
019959_005,4
030971_001,0
006481_006,5
006066_002,1
022439_001,0
015732_002,1
021330_003,2
024528_008,7
002949_001,0
031877_004,3
023738_002,1
016761_001,0
015226_007,6
018053_001,0
027125_001,0
026400_001,0
006997_009,8
017410_007,6
030402_003,2
033927_001,0
006025_001,0
019761_001,0
012464_005,4
000790_003,2
003877_003,2
034747_006,5
017381_001,0
032399_004,3
016616_002,1
039243_001,0
030124_001,0
030267_009,8
003572_001,0
031485_003,2
001841_005,4
013678_003,2
008756_002,1
019041_001,0
035512_001,0
025829_001,0
038261_005,4
025626_001,0
023217_003,2
012823_001,0
024333_001,0
001706_008,7
031622_002,1
019899_004,3
000389_002,1
034205_002,1
015716_002,1
004012_005,4
008180_005,4
012217_008,7
039729_006,5
021366_008,7
031688_008,7
007833_001,0
017492_003,2
008435_006,5
021884_003,2
027114_001,0
016809_005,4
013602_007,6
009218_001,0
010523_003,2
026586_008,7
028888_004,3
014244_003,2
022586_001,0
028198_001,0
036998_003,2
022095_009,8
015241_003,2
017906_003,2
003647_007,6
027187_007,6
036357_008,7
022782_002,1
019165_001,0
002682_007,6
012721_008,7
013550_005,4
006667_001,0
017039_001,0
026594_007,6
031985_001,0
012261_001,0
025211_009,8
034521_003,2
021343_005,4
008259_008,7
009906_009,8
002081_008,7
022210_001,0
000430_001,0
000666_001,0
002225_007,6
010807_001,0
005588_006,5
016884_006,5
031619_001,0
026111_007,6
027691_008,7
019843_001,0
026562_002,1
026234_003,2
028783_004,3
018933_009,8
001843_008,7
037452_002,1
007771_002,1
003216_001,0
031248_001,0
032668_008,7
004045_001,0
031651_006,5
027659_002,1
030915_001,0
030122_001,0
006183_006,5
003919_001,0
018299_003,2
032377_004,3
022632_006,5
011885_009,8
012861_003,2
012581_001,0
015430_001,0
018508_002,1
019126_008,7
002004_002,1
006393_001,0
009532_006,5
008348_002,1
009629_009,8
034594_001,0
010264_002,1
030357_009,8
032382_002,1
033681_001,0
002995_009,8
036978_007,6
021055_001,0
010774_002,1
028826_006,5
033507_002,1
029392_001,0
011462_006,5
004774_002,1
018006_009,8
013716_007,6
003728_001,0
002862_001,0
019592_006,5
036845_006,5
033345_008,7
021022_009,8
018203_001,0
025142_008,7
011961_009,8
002254_002,1
033706_006,5
017836_005,4
039696_003,2
007050_005,4
014294_007,6
012415_002,1
022200_001,0
020149_006,5
007842_003,2
036995_004,3
039342_002,1
028911_001,0
019092_001,0
023513_009,8
000119_005,4
038594_006,5
016536_001,0
022619_007,6
005722_006,5
008463_009,8
020572_005,4
023569_001,0
000490_006,5
017948_003,2
021498_002,1
029222_001,0
018615_006,5
037303_006,5
035376_001,0
010519_007,6
021178_006,5
004293_009,8
015120_006,5
028610_002,1
031166_003,2
038932_007,6
007805_009,8
003897_002,1
018937_006,5
003491_008,7
028659_002,1
018601_006,5
020198_009,8
028857_005,4
020793_006,5
035010_001,0
029784_003,2
014686_001,0
003610_007,6
022525_007,6
010967_001,0
008474_002,1
028775_005,4
035762_001,0
007197_001,0
004460_001,0
019093_003,2
008202_001,0
020852_006,5
035631_009,8
006316_002,1
022106_001,0
037589_005,4
001515_001,0
038087_009,8
034976_002,1
031724_002,1
002236_006,5
016576_001,0
027666_005,4
036384_009,8
012105_002,1
038452_002,1
002637_002,1
002278_004,3
027703_001,0
026523_001,0
007244_005,4
004717_009,8
034784_003,2
026272_008,7
004587_006,5
011949_006,5
003232_002,1
034782_001,0
003248_004,3
017347_009,8
006687_005,4
026691_003,2
037697_009,8
008237_004,3
036733_006,5
037408_002,1
001519_005,4
022921_008,7
013762_006,5
012835_005,4
019001_006,5
032864_002,1
014383_001,0
033731_006,5
030899_001,0
021607_009,8
025057_001,0
015701_003,2
033395_005,4
010758_002,1
023472_006,5
005584_002,1
006931_005,4
023119_002,1
019599_006,5
021274_007,6
024288_003,2
026493_001,0
032781_006,5
018886_001,0
009193_009,8
020459_006,5
037451_001,0
029933_003,2
026409_008,7
016010_001,0
000065_002,1
023742_007,6
032753_001,0
021418_006,5
014822_003,2
018267_007,6
004825_006,5
024847_001,0
023960_001,0
009860_006,5
036231_002,1
011336_009,8
006471_005,4
024834_006,5
002449_007,6
001914_006,5
007720_006,5
034387_002,1
008904_009,8
039312_009,8
001653_002,1
029366_007,6
034270_002,1
008218_006,5
013381_009,8
005738_001,0
020132_006,5
017795_002,1
020406_002,1
011927_002,1
004999_008,7
039799_006,5
016120_001,0
007263_006,5
018505_001,0
029363_009,8
014501_003,2
016051_004,3
028169_006,5
039746_002,1
022158_005,4
025182_007,6
011113_005,4
028632_007,6
004492_003,2
026139_006,5
036154_001,0
020538_006,5
000721_006,5
039855_001,0
017141_008,7
009200_001,0
030781_007,6
013443_007,6
032081_007,6
024572_007,6
032773_007,6
038826_002,1
013227_007,6
017596_006,5
015513_003,2
013185_006,5
030572_006,5
015926_001,0
031784_002,1
002380_002,1
001909_006,5
003366_005,4
004264_005,4
023273_002,1
012800_006,5
017847_006,5
005237_006,5
032252_002,1
011679_002,1
001555_008,7
019146_009,8
020039_006,5
019895_003,2
019299_002,1
027381_009,8
036489_009,8
010278_002,1
004712_003,2
020630_006,5
037118_008,7
029226_003,2
023650_006,5
018273_001,0
023980_004,3
009631_007,6
016492_002,1
019530_001,0
019026_007,6
022414_007,6
021668_005,4
002406_002,1
015599_001,0
020749_006,5
028408_004,3
019355_002,1
004484_002,1
031785_001,0
012488_003,2
015940_006,5
021796_007,6
008148_002,1
030266_002,1
015758_006,5
004451_002,1
031916_002,1
026984_001,0
031007_007,6
037813_001,0
039549_006,5
024037_002,1
036997_004,3
039818_005,4
001208_003,2
027935_007,6
019221_002,1
015141_003,2
038965_009,8
001362_002,1
029615_007,6
021828_006,5
028429_005,4
010674_008,7
022518_007,6
005161_002,1
019963_001,0
017250_002,1
030144_009,8
022260_002,1
014873_001,0
002911_008,7
036824_002,1
010852_002,1
000260_001,0
025632_002,1
007185_003,2
001593_001,0
006122_002,1
020606_006,5
012749_002,1
006984_005,4
034636_007,6
026833_003,2
019220_007,6
032924_003,2
033015_002,1
007578_005,4
028132_004,3
013617_001,0
009390_006,5
022902_005,4
006109_007,6
027575_001,0
017588_009,8
006399_003,2
022882_003,2
014925_005,4
025324_006,5
031754_008,7
007618_002,1
014685_007,6
011802_001,0
015412_003,2
014812_001,0
025294_001,0
004156_001,0
007973_007,6
026574_007,6
018041_004,3
038742_003,2
032359_001,0
030185_001,0
011366_003,2
007121_006,5
009609_001,0
011772_001,0
000610_002,1
016991_002,1
001534_001,0
003767_005,4
014077_009,8
031217_009,8
022306_001,0
012190_003,2
010398_003,2
034808_002,1
039347_002,1
001854_008,7
007563_001,0
001668_005,4
031536_002,1
029122_005,4
036220_006,5
000542_001,0
035683_001,0
003654_008,7
039879_006,5
002599_001,0
013545_002,1
027376_001,0
019350_006,5
030792_001,0
033641_002,1
002786_002,1
006352_005,4
025099_003,2
013756_002,1
034524_003,2
005729_001,0
010333_001,0
014603_003,2
032551_004,3
030241_003,2
014818_006,5
007487_002,1
029818_001,0
030297_005,4
027978_006,5
010072_001,0
036296_002,1
021667_003,2
034658_009,8
020987_004,3
003586_005,4
026067_006,5
001373_002,1
011769_002,1
025581_005,4
024539_003,2
012079_005,4
030851_009,8
027582_002,1
035840_006,5
034269_007,6
016566_008,7
020486_006,5
009078_001,0
019268_006,5
034502_009,8
019734_005,4
032995_001,0
033411_001,0
019783_008,7
028070_002,1
023287_006,5
032297_001,0
019501_001,0
022819_005,4
017820_006,5
032233_005,4
023857_002,1
007510_001,0
018761_002,1
035245_001,0
001659_004,3
017180_002,1
030997_005,4
002259_002,1
020040_005,4
021526_006,5
007203_001,0
017495_006,5
025007_006,5
037993_006,5
012360_003,2
020549_006,5
033936_008,7
011866_001,0
032732_005,4
013387_002,1
013939_002,1
010481_001,0
002833_001,0
011852_005,4
029513_009,8
000929_006,5
021713_001,0
000205_002,1
028757_002,1
039444_002,1
037799_005,4
022838_007,6
039434_009,8
036507_001,0
029651_006,5
005251_005,4
015900_006,5
004978_001,0
034950_001,0
013722_006,5
038884_005,4
032422_006,5
007192_001,0
010062_008,7
001322_001,0
013611_001,0
030957_005,4
022691_002,1
028184_009,8
038303_005,4
020056_006,5
010573_006,5
004535_001,0
031710_001,0
031962_005,4
018192_005,4
011233_001,0
010829_001,0
038496_001,0
008789_005,4
029607_001,0
013010_007,6
000271_001,0
002724_002,1
022329_003,2
003874_006,5
020835_009,8
000850_001,0
026284_006,5
012915_007,6
015311_003,2
017075_006,5
031621_005,4
034107_002,1
036515_007,6
006933_005,4
027204_001,0
008030_001,0
019982_009,8
003816_002,1
030535_001,0
019540_006,5
033399_007,6
020711_001,0
021673_001,0
004174_005,4
003283_001,0
005008_005,4
018219_005,4
035938_009,8
004644_001,0
031813_001,0
002679_001,0
016735_002,1
038809_003,2
008154_001,0
010969_001,0
023678_002,1
023942_002,1
030918_003,2
011009_003,2
014196_006,5
021047_001,0
033801_002,1
038722_004,3
035210_004,3
010368_001,0
010971_006,5
021537_008,7
026593_002,1
016482_002,1
034843_002,1
024916_003,2
013006_001,0
009581_001,0
021252_002,1
010253_001,0
014440_002,1
032930_006,5
016609_005,4
016214_002,1
024245_009,8
030095_009,8
023017_002,1
033956_002,1
017605_001,0
007032_002,1
030961_008,7
021244_002,1
022806_008,7
005896_002,1
011261_002,1
024839_005,4
035004_001,0
025691_002,1
002742_009,8
013106_006,5
035291_008,7
039148_003,2
014078_005,4
021694_001,0
000244_006,5
032792_001,0
000453_002,1
011959_008,7
030730_006,5
007337_006,5
025111_001,0
036746_002,1
030775_001,0
020940_002,1
010513_001,0
007995_001,0
022871_006,5
032002_006,5
016717_005,4
038367_002,1
036944_001,0
016136_001,0
002961_005,4
032640_001,0
039904_005,4
026785_001,0
036332_001,0
006350_001,0
010960_005,4
017807_001,0
022945_009,8
003136_006,5
032158_009,8
019589_006,5
004270_001,0
006666_001,0
012648_002,1
032680_009,8
013795_001,0
011501_006,5
000079_009,8
037110_006,5
005093_006,5
003190_006,5
011481_007,6
008131_005,4
037128_003,2
032978_004,3
002775_001,0
029472_004,3
016182_007,6
038948_007,6
019849_005,4
026508_007,6
030317_002,1
039104_002,1
029499_003,2
023836_005,4
019921_002,1
001979_001,0
034137_006,5
031513_002,1
037572_006,5
028330_002,1
034621_008,7
012487_001,0
034444_005,4
019660_007,6
019522_001,0
032910_008,7
031878_001,0
006223_007,6
021096_006,5
000015_004,3
004709_005,4
033241_009,8
026871_008,7
014725_001,0
035720_001,0
008733_002,1
038664_001,0
008514_002,1
004594_002,1
010643_001,0
022203_009,8
015907_006,5
036638_001,0
001182_001,0
010579_006,5
021501_003,2
002861_002,1
001097_009,8
026540_005,4
036754_006,5
026803_007,6
025661_008,7
038308_004,3
005368_006,5
004142_006,5
020294_007,6
006636_006,5
021018_006,5
011218_002,1
004046_002,1
006836_005,4
018485_002,1
024498_001,0
018425_002,1
026774_008,7
001646_001,0
028906_002,1
014072_003,2
022108_003,2
027179_002,1
017066_006,5
005218_001,0
005189_004,3
011791_001,0
027680_005,4
035393_002,1
000257_001,0
021679_005,4
028282_006,5
016591_002,1
029448_007,6
000792_008,7
039363_003,2
022505_001,0
026096_007,6
026837_005,4
030433_003,2
015987_005,4
002410_001,0
031391_001,0
004266_001,0
024401_006,5
017840_007,6
018680_003,2
001002_001,0
028761_009,8
034180_006,5
039586_002,1
017928_004,3
039654_002,1
031312_002,1
034531_001,0
000940_007,6
022941_006,5
020418_001,0
001795_001,0
007194_001,0
002008_001,0
023256_003,2
034685_004,3
030893_009,8
006610_006,5
019820_005,4
024133_009,8
025255_005,4
006318_002,1
019478_003,2
039964_002,1
001496_003,2
012423_002,1
020950_006,5
004269_006,5
001575_008,7
001933_006,5
024268_008,7
023973_008,7
027143_002,1
035819_002,1
029174_006,5
013015_002,1
026244_009,8
001025_003,2
018612_002,1
021287_006,5
024309_001,0
005089_001,0
003312_001,0
003079_008,7
004777_002,1
019979_006,5
003511_004,3
029756_001,0
018463_001,0
005845_006,5
033366_001,0
034736_008,7
009877_007,6
003427_006,5
011245_005,4
035350_006,5
025201_009,8
025097_007,6
039272_001,0
002369_006,5
005918_001,0
021555_002,1
019977_006,5
029691_005,4
036708_001,0
035175_002,1
028534_002,1
026436_009,8
025253_005,4
004328_001,0
004574_005,4
030022_008,7
002441_002,1
020936_009,8
037641_008,7
025750_002,1
011581_009,8
024180_007,6
021700_003,2
035800_007,6
020354_006,5
020360_002,1
028340_007,6
015563_001,0
012250_008,7
010168_002,1
027754_003,2
002657_003,2
001368_005,4
035784_006,5
006087_008,7
010193_001,0
035399_006,5
029666_001,0
017049_002,1
031841_001,0
023150_006,5
030911_008,7
025288_001,0
034673_002,1
027730_006,5
012948_002,1
033378_002,1
034765_001,0
016988_006,5
034214_008,7
003056_005,4
